,Site,Cert,Link
78,https://www.amazon.com/,CIS,https://www.amazon.com/cis-ink/s?k=cis+ink
79,https://www.amazon.com/,CIS,https://www.amazon.com/Books-CIS-Handbook/s?rh=n%3A283155%2Cp_28%3AThe+CIS+Handbook
80,https://www.amazon.com/,CMMC,https://www.amazon.com/Cybersecurity-Maturity-Certification-Assessment-Handbook/dp/B0B19MKRRT
81,https://www.amazon.com/,CMMC,https://www.amazon.com/Cybersecurity-Maturity-Model-Certification-CMMC/dp/1650526156
82,https://www.amazon.com/,CMMC,https://www.amazon.com/Cybersecurity-Maturity-Model-Certification-CMMC/dp/1676935630
83,https://www.amazon.com/,CMMC,https://www.amazon.com/CMMC-2-0-Federal-Contractors-Organizations/dp/B0BD7PMKNG
84,https://www.amazon.com/,CMMC,https://www.amazon.com/Ultimate-Guide-CMMC-Government-Contracts/dp/B086Y5KF4V
85,https://www.amazon.com/,CMMC,https://www.amazon.com/NIST-800-171a-CMMC-Self-Assessment-Guide/dp/B0B2V3W3M7
86,https://www.amazon.com/,CMMC,https://www.amazon.com/CMMC-Scooter-Handbrake-Quick-Release-Folding/dp/B0893XYHVY
87,https://www.amazon.com/,CMMC,https://www.amazon.com/CMMC-1ft-20ft-Handrails-Complete-Railings/dp/B0852CZVKJ
88,https://www.amazon.com/,CMMC,https://www.amazon.com/CMMC-Handrails-Professional-Barrier-Free-Staircase/dp/B0852CWXY5
89,https://www.amazon.com/,CMMC,https://www.amazon.com/NIST800-171-Compliance-Checklist-Implementation-Guide/dp/B095557CSC
90,https://www.ted.com/,CDP,https://www.ted.com/speakers/paul_dickinson
91,https://www.ted.com/,CDP,https://www.ted.com/talks/charlotte_degot_a_more_accurate_way_to_calculate_emissions
92,https://www.ted.com/,CDP,https://www.ted.com/podcasts/outrage-optimism
93,https://www.ted.com/,CDP,https://www.ted.com/talks/esther_an_change_is_not_a_choice
94,https://www.ted.com/,CDP,https://www.ted.com/talks/charlotte_degot_a_more_accurate_way_to_calculate_emissions?language=es
95,https://www.ted.com/,CDP,https://www.ted.com/talks/charlotte_degot_a_more_accurate_way_to_calculate_emissions?language=fr
96,https://www.ted.com/,CDP,https://www.ted.com/talks/charlotte_degot_a_more_accurate_way_to_calculate_emissions?language=pt
97,https://www.ted.com/,CDP,https://www.ted.com/talks/charlotte_degot_a_more_accurate_way_to_calculate_emissions?language=zh-tw
98,https://www.ted.com/,CDP,https://www.ted.com/talks/charlotte_degot_a_more_accurate_way_to_calculate_emissions?language=ar
99,https://www.ted.com/,CDP,https://www.ted.com/talks/charlotte_degot_a_more_accurate_way_to_calculate_emissions?language=ko
100,https://www.ted.com/,CIS,https://www.ted.com/tedx/events/35889
101,https://www.ted.com/,CIS,https://www.ted.com/tedx/events/21567
102,https://www.ted.com/,CIS,https://www.ted.com/talks/maite_schneider_6_dicas_de_uma_trans_para_uma_sociedade_cis_hetero_normativa
103,https://www.ted.com/,CIS,https://www.ted.com/tedx/events/31624
104,https://www.ted.com/,CIS,https://www.ted.com/talks/adam_harry_changing_the_cis_term_being_a_transman
105,https://www.ted.com/,CIS,https://www.ted.com/tedx/events/45781
106,https://www.ted.com/,CIS,https://www.ted.com/search?page=220&per_page=12&q=cis.
107,https://www.ted.com/,CIS,https://www.ted.com/tedx/events/51916
108,https://www.ted.com/,CIS,https://www.ted.com/playlists/333/talks_for_the_hopeless_romanti
109,https://www.ted.com/,CIS,https://www.ted.com/tedx/events/31900
110,https://www.linkedin.com/,CDP,https://www.linkedin.com/company/cdp-worldwide
111,https://www.linkedin.com/,CDP,https://www.linkedin.com/in/simonfischweicher
112,https://www.linkedin.com/,CDP,https://www.linkedin.com/company/cdpcommunity
113,https://www.linkedin.com/,CDP,https://www.linkedin.com/company/cdp-inc
114,https://www.linkedin.com/,CDP,https://www.linkedin.com/company/securecdp
115,https://www.linkedin.com/,CDP,https://www.linkedin.com/in/georgemhodgesustainability
116,https://www.linkedin.com/,CDP,https://www.linkedin.com/company/customer-data-platform-institute
117,https://www.linkedin.com/,CDP,https://www.linkedin.com/pulse/cdp-vs-cdi-dmp-welcome-messiest-martech-category-ever-brian-ivanovick
118,https://www.linkedin.com/,CDP,https://www.linkedin.com/in/david-raab-22146b
119,https://www.linkedin.com/,CDP,https://www.linkedin.com/in/julia-silberman
120,https://www.linkedin.com/,CIS,https://www.linkedin.com/company/cis-secure
121,https://www.linkedin.com/,CIS,https://www.linkedin.com/company/cis-group-llc
122,https://www.linkedin.com/,CIS,https://www.linkedin.com/company/cisabroad
123,https://www.linkedin.com/,CIS,https://www.linkedin.com/in/martin-cis-4a97ab
124,https://www.linkedin.com/,CIS,https://www.linkedin.com/company/cis-group_3
125,https://www.linkedin.com/,CIS,https://www.linkedin.com/company/cistechnology
126,https://www.linkedin.com/,CIS,https://www.linkedin.com/pulse/cis-controls-vs-essential-eight-boris-bock
127,https://www.linkedin.com/,CIS,https://www.linkedin.com/company/communities-in-schools-of-chicago
128,https://www.linkedin.com/,CIS,https://www.linkedin.com/company/alamo-claims-inc
129,https://www.linkedin.com/,CIS,https://www.linkedin.com/company/cis-international-llc
130,https://www.linkedin.com/,CMMC,https://www.linkedin.com/company/cmmc-ab
131,https://www.linkedin.com/,CMMC,https://www.linkedin.com/pulse/what-cmmc-registered-provider-organization-rpo-why-one-schoenberg
132,https://www.linkedin.com/,CMMC,https://www.linkedin.com/company/cmmc-coe
133,https://www.linkedin.com/,CMMC,https://www.linkedin.com/pulse/enclave-approach-cmmc-ben-gerenstein
